day,price,date,difficulty,num_tranc,activeAddresses
2009-01-03 00:00:00,0.0,2009-01-03,1.0,1.0,
2009-01-05 00:00:00,0.0,2009-01-05,0.0,0.0,
2009-01-07 00:00:00,0.0,2009-01-07,0.0,0.0,
2009-01-09 00:00:00,0.0,2009-01-09,1.0,14.0,14.0
2009-01-11 00:00:00,0.0,2009-01-11,1.0,106.0,93.0
2009-01-13 00:00:00,0.0,2009-01-13,1.0,116.0,123.0
2009-01-15 00:00:00,0.0,2009-01-15,1.0,136.0,140.0
2009-01-17 00:00:00,0.0,2009-01-17,1.0,109.0,109.0
2009-01-19 00:00:00,0.0,2009-01-19,1.0,120.0,133.0
2009-01-21 00:00:00,0.0,2009-01-21,1.0,115.0,105.0
2009-01-23 00:00:00,0.0,2009-01-23,1.0,68.0,95.0
2009-01-25 00:00:00,0.0,2009-01-25,1.0,195.0,193.0
2009-01-27 00:00:00,0.0,2009-01-27,1.0,105.0,101.0
2009-01-29 00:00:00,0.0,2009-01-29,1.0,122.0,134.0
2009-01-31 00:00:00,0.0,2009-01-31,1.0,129.0,159.0
2009-02-02 00:00:00,0.0,2009-02-02,1.0,127.0,130.0
2009-02-04 00:00:00,0.0,2009-02-04,1.0,126.0,119.0
2009-02-06 00:00:00,0.0,2009-02-06,1.0,129.0,122.0
2009-02-08 00:00:00,0.0,2009-02-08,1.0,135.0,134.0
2009-02-10 00:00:00,0.0,2009-02-10,1.0,127.0,120.0
2009-02-12 00:00:00,0.0,2009-02-12,1.0,119.0,119.0
2009-02-14 00:00:00,0.0,2009-02-14,1.0,141.0,136.0
2009-02-16 00:00:00,0.0,2009-02-16,1.0,123.0,153.0
2009-02-18 00:00:00,0.0,2009-02-18,1.0,124.0,118.0
2009-02-20 00:00:00,0.0,2009-02-20,1.0,129.0,122.0
2009-02-22 00:00:00,0.0,2009-02-22,1.0,125.0,133.0
2009-02-24 00:00:00,0.0,2009-02-24,1.0,111.0,106.0
2009-02-26 00:00:00,0.0,2009-02-26,1.0,96.0,107.0
2009-02-28 00:00:00,0.0,2009-02-28,1.0,103.0,107.0
2009-03-02 00:00:00,0.0,2009-03-02,1.0,104.0,108.0
2009-03-04 00:00:00,0.0,2009-03-04,1.0,106.0,130.0
2009-03-06 00:00:00,0.0,2009-03-06,1.0,119.0,117.0
2009-03-08 00:00:00,0.0,2009-03-08,1.0,115.0,142.0
2009-03-10 00:00:00,0.0,2009-03-10,1.0,105.0,107.0
2009-03-12 00:00:00,0.0,2009-03-12,1.0,119.0,122.0
2009-03-14 00:00:00,0.0,2009-03-14,1.0,116.0,110.0
2009-03-16 00:00:00,0.0,2009-03-16,1.0,131.0,170.0
2009-03-18 00:00:00,0.0,2009-03-18,1.0,110.0,129.0
2009-03-20 00:00:00,0.0,2009-03-20,1.0,119.0,131.0
2009-03-22 00:00:00,0.0,2009-03-22,1.0,97.0,131.0
2009-03-24 00:00:00,0.0,2009-03-24,1.0,105.0,105.0
2009-03-26 00:00:00,0.0,2009-03-26,1.0,114.0,146.0
2009-03-28 00:00:00,0.0,2009-03-28,1.0,122.0,140.0
2009-03-30 00:00:00,0.0,2009-03-30,1.0,125.0,120.0
2009-04-01 00:00:00,0.0,2009-04-01,1.0,107.0,114.0
2009-04-03 00:00:00,0.0,2009-04-03,1.0,113.0,116.0
2009-04-05 00:00:00,0.0,2009-04-05,1.0,129.0,148.0
2009-04-07 00:00:00,0.0,2009-04-07,1.0,99.0,100.0
2009-04-09 00:00:00,0.0,2009-04-09,1.0,99.0,99.0
2009-04-11 00:00:00,0.0,2009-04-11,1.0,123.0,128.0
2009-04-13 00:00:00,0.0,2009-04-13,1.0,118.0,117.0
2009-04-15 00:00:00,0.0,2009-04-15,1.0,112.0,113.0
2009-04-17 00:00:00,0.0,2009-04-17,1.0,115.0,112.0
2009-04-19 00:00:00,0.0,2009-04-19,1.0,121.0,128.0
2009-04-21 00:00:00,0.0,2009-04-21,1.0,125.0,125.0
2009-04-23 00:00:00,0.0,2009-04-23,1.0,80.0,75.0
2009-04-25 00:00:00,0.0,2009-04-25,1.0,122.0,118.0
2009-04-27 00:00:00,0.0,2009-04-27,1.0,105.0,104.0
2009-04-29 00:00:00,0.0,2009-04-29,1.0,123.0,149.0
2009-05-01 00:00:00,0.0,2009-05-01,1.0,123.0,121.0
2009-05-03 00:00:00,0.0,2009-05-03,1.0,115.0,110.0
2009-05-05 00:00:00,0.0,2009-05-05,1.0,133.0,146.0
2009-05-07 00:00:00,0.0,2009-05-07,1.0,121.0,122.0
2009-05-09 00:00:00,0.0,2009-05-09,1.0,91.0,78.0
2009-05-11 00:00:00,0.0,2009-05-11,1.0,120.0,123.0
2009-05-13 00:00:00,0.0,2009-05-13,1.0,117.0,117.0
2009-05-15 00:00:00,0.0,2009-05-15,1.0,145.0,146.0
2009-05-17 00:00:00,0.0,2009-05-17,1.0,125.0,127.0
2009-05-19 00:00:00,0.0,2009-05-19,1.0,100.0,86.0
2009-05-21 00:00:00,0.0,2009-05-21,1.0,89.0,82.0
2009-05-23 00:00:00,0.0,2009-05-23,1.0,7.0,32.0
2009-05-25 00:00:00,0.0,2009-05-25,1.0,112.0,109.0
2009-05-27 00:00:00,0.0,2009-05-27,1.0,125.0,119.0
2009-05-29 00:00:00,0.0,2009-05-29,1.0,108.0,167.0
